                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8561,                 1.5211,                 1.2786,                0.85518,                0.68251,                0.75833,                0.41445,                 1.8347,                 1.3671,                  1.038,               0.070003,               0.003333,               0.003333
                      1,                 1.6538,                 1.0176,                 1.1708,                0.90131,                0.75086,                0.80482,                0.45862,                 1.7217,                 1.1799,                 1.0172,               0.039981,              0.0066443,              0.0066443
                      2,                  1.634,                0.97209,                 1.1653,                0.91263,                0.74331,                 0.8095,                0.46732,                 1.7029,                 1.1336,                 1.0152,              0.0099373,              0.0099336,              0.0099336
                      3,                 1.5935,                0.91401,                 1.1496,                0.90951,                0.74844,                0.81819,                0.47541,                 1.6939,                  1.104,                 1.0153,               0.009901,               0.009901,               0.009901
                      4,                 1.5407,                0.84882,                 1.1277,                0.91479,                0.75088,                0.82412,                0.48375,                 1.6725,                 1.0816,                 1.0108,               0.009901,               0.009901,               0.009901
                      5,                 1.5164,                0.81323,                 1.1181,                0.91555,                0.75012,                 0.8266,                0.48899,                 1.6703,                 1.0849,                 1.0108,               0.009868,               0.009868,               0.009868
                      6,                 1.5001,                0.79254,                 1.1116,                0.91453,                0.74616,                0.82711,                0.49153,                 1.6705,                 1.1034,                 1.0117,               0.009835,               0.009835,               0.009835
                      7,                  1.485,                0.77716,                 1.1061,                0.91342,                0.74413,                0.82854,                0.49422,                 1.6661,                 1.1123,                 1.0117,               0.009802,               0.009802,               0.009802
                      8,                 1.4761,                0.76532,                 1.1019,                0.91633,                0.74455,                0.82962,                0.49681,                 1.6612,                 1.1096,                 1.0102,               0.009769,               0.009769,               0.009769
                      9,                 1.4696,                0.75867,                 1.0987,                0.92273,                0.74954,                0.83434,                0.50203,                 1.6484,                 1.0918,                 1.0072,               0.009736,               0.009736,               0.009736
                     10,                 1.4578,                0.75001,                 1.0951,                 0.9327,                0.75742,                0.83994,                0.50601,                   1.63,                 1.0558,                 1.0029,               0.009703,               0.009703,               0.009703
                     11,                 1.4519,                 0.7439,                 1.0919,                 0.9397,                0.76691,                0.84622,                0.51098,                 1.6108,                 1.0181,                0.99858,                0.00967,                0.00967,                0.00967
                     12,                 1.4505,                0.74096,                 1.0935,                 0.9395,                0.77645,                0.85046,                0.51401,                 1.5937,                0.97987,                0.99438,               0.009637,               0.009637,               0.009637
                     13,                  1.444,                0.73308,                  1.089,                0.94313,                0.78342,                0.85442,                0.51677,                 1.5769,                0.94813,                 0.9902,               0.009604,               0.009604,               0.009604
                     14,                 1.4432,                 0.7296,                 1.0902,                0.94603,                0.78962,                0.85695,                 0.5187,                 1.5622,                0.92062,                0.98748,               0.009571,               0.009571,               0.009571
                     15,                 1.4334,                0.72328,                 1.0868,                0.95181,                0.79375,                0.85948,                 0.5209,                 1.5511,                0.89986,                0.98482,               0.009538,               0.009538,               0.009538
                     16,                 1.4331,                0.72311,                 1.0861,                0.95776,                 0.7987,                0.86191,                0.52308,                 1.5424,                0.88425,                0.98244,               0.009505,               0.009505,               0.009505
                     17,                 1.4327,                0.71914,                 1.0862,                 0.9583,                0.80455,                0.86298,                0.52397,                 1.5366,                0.87294,                0.98062,               0.009472,               0.009472,               0.009472
                     18,                 1.4276,                 0.7166,                  1.083,                0.95713,                0.80809,                0.86448,                0.52542,                 1.5315,                0.86256,                0.97914,               0.009439,               0.009439,               0.009439
                     19,                 1.4259,                0.71576,                 1.0844,                0.95849,                0.81077,                0.86544,                0.52613,                  1.527,                0.85621,                0.97759,               0.009406,               0.009406,               0.009406
                     20,                 1.4196,                0.70918,                 1.0809,                0.95807,                0.81444,                0.86698,                0.52666,                 1.5229,                0.85127,                0.97629,               0.009373,               0.009373,               0.009373
                     21,                 1.4215,                0.71031,                 1.0817,                0.95831,                0.81691,                0.86827,                0.52778,                 1.5171,                 0.8474,                0.97514,                0.00934,                0.00934,                0.00934
                     22,                 1.4189,                0.70915,                 1.0795,                0.95873,                0.81711,                0.86838,                0.52907,                 1.5105,                0.84308,                0.97381,               0.009307,               0.009307,               0.009307
                     23,                 1.4169,                0.70529,                 1.0807,                0.95901,                0.81782,                0.86941,                0.52982,                 1.5074,                0.83964,                0.97303,               0.009274,               0.009274,               0.009274
                     24,                 1.4141,                0.70245,                 1.0784,                0.95957,                0.81844,                0.86997,                0.53074,                 1.5037,                0.83559,                0.97218,               0.009241,               0.009241,               0.009241
                     25,                 1.4086,                0.70152,                 1.0771,                0.95813,                0.82026,                0.87024,                0.53174,                 1.5015,                0.83377,                0.97148,               0.009208,               0.009208,               0.009208
                     26,                   1.41,                0.69905,                 1.0792,                0.95805,                0.82087,                0.87078,                0.53149,                  1.499,                0.83236,                0.97089,               0.009175,               0.009175,               0.009175
                     27,                  1.406,                0.69998,                 1.0762,                0.95734,                0.82059,                0.87136,                0.53181,                 1.4969,                0.83205,                0.97028,               0.009142,               0.009142,               0.009142
                     28,                  1.407,                0.69788,                 1.0768,                0.95771,                0.82145,                0.87193,                0.53341,                 1.4942,                0.83032,                0.96959,               0.009109,               0.009109,               0.009109
                     29,                 1.4043,                0.69419,                 1.0756,                 0.9583,                0.82242,                0.87293,                0.53378,                 1.4918,                0.82892,                  0.969,               0.009076,               0.009076,               0.009076
                     30,                 1.4034,                0.69167,                 1.0767,                0.95831,                0.82194,                0.87258,                0.53461,                 1.4885,                0.82825,                0.96831,               0.009043,               0.009043,               0.009043
                     31,                 1.4008,                0.69221,                 1.0745,                0.95676,                0.82343,                0.87311,                0.53454,                  1.488,                0.82796,                0.96775,                0.00901,                0.00901,                0.00901
                     32,                 1.3958,                0.68936,                 1.0729,                0.95693,                0.82401,                0.87327,                0.53569,                  1.486,                0.82991,                0.96724,               0.008977,               0.008977,               0.008977
                     33,                  1.396,                0.68761,                 1.0741,                0.95786,                 0.8235,                0.87289,                0.53633,                  1.484,                0.82947,                0.96671,               0.008944,               0.008944,               0.008944
                     34,                 1.4008,                0.69178,                 1.0749,                0.95945,                0.82257,                0.87312,                0.53746,                 1.4827,                0.83044,                0.96607,               0.008911,               0.008911,               0.008911
                     35,                 1.3904,                0.68364,                 1.0719,                0.95971,                  0.821,                0.87338,                0.53753,                  1.482,                0.83242,                0.96536,               0.008878,               0.008878,               0.008878
                     36,                 1.3947,                 0.6868,                 1.0735,                0.96065,                0.82079,                0.87333,                0.53772,                 1.4793,                0.83152,                0.96493,               0.008845,               0.008845,               0.008845
                     37,                 1.3898,                 0.6841,                 1.0713,                0.96124,                0.82161,                0.87343,                0.53848,                 1.4785,                0.82959,                0.96448,               0.008812,               0.008812,               0.008812
                     38,                 1.3891,                0.68388,                 1.0711,                0.96092,                0.82116,                0.87337,                 0.5389,                 1.4769,                0.83123,                0.96398,               0.008779,               0.008779,               0.008779
                     39,                 1.3848,                0.68093,                 1.0692,                0.96079,                0.82234,                0.87395,                0.53897,                 1.4743,                 0.8319,                0.96349,               0.008746,               0.008746,               0.008746
                     40,                 1.3861,                0.68123,                 1.0705,                 0.9601,                0.82238,                0.87455,                0.53966,                 1.4768,                0.83168,                0.96343,               0.008713,               0.008713,               0.008713
                     41,                 1.3858,                 0.6797,                 1.0703,                0.96171,                0.82295,                0.87493,                0.54026,                 1.4741,                0.82962,                0.96284,                0.00868,                0.00868,                0.00868
                     42,                 1.3867,                0.67985,                 1.0705,                 0.9621,                0.82357,                0.87557,                0.54063,                 1.4737,                0.82672,                0.96256,               0.008647,               0.008647,               0.008647
                     43,                 1.3828,                0.67959,                 1.0683,                0.96123,                0.82393,                0.87595,                0.54131,                 1.4713,                0.82535,                  0.962,               0.008614,               0.008614,               0.008614
                     44,                 1.3824,                0.67681,                 1.0686,                0.96259,                0.82242,                0.87592,                0.54203,                 1.4698,                0.82436,                0.96119,               0.008581,               0.008581,               0.008581
                     45,                   1.38,                0.67456,                 1.0683,                0.96321,                0.82332,                 0.8763,                0.54158,                 1.4691,                0.82494,                0.96088,               0.008548,               0.008548,               0.008548
                     46,                 1.3789,                0.67639,                 1.0682,                0.96329,                0.82426,                0.87627,                0.54203,                 1.4686,                0.82274,                0.96054,               0.008515,               0.008515,               0.008515
                     47,                  1.377,                0.67292,                 1.0662,                 0.9628,                0.82481,                0.87687,                0.54226,                 1.4686,                0.82108,                 0.9604,               0.008482,               0.008482,               0.008482
                     48,                 1.3785,                0.67419,                 1.0678,                0.96345,                 0.8254,                0.87713,                0.54214,                 1.4671,                0.81902,                0.96018,               0.008449,               0.008449,               0.008449
                     49,                 1.3757,                0.67224,                 1.0656,                0.96225,                  0.826,                0.87727,                0.54241,                 1.4645,                0.81537,                0.95963,               0.008416,               0.008416,               0.008416
                     50,                 1.3811,                0.67573,                 1.0677,                0.96115,                0.82588,                0.87725,                 0.5433,                 1.4631,                0.81547,                0.95914,               0.008383,               0.008383,               0.008383
                     51,                  1.375,                0.67147,                 1.0644,                0.96015,                0.82676,                0.87756,                0.54355,                 1.4606,                0.81413,                 0.9584,                0.00835,                0.00835,                0.00835
                     52,                 1.3709,                0.67002,                 1.0644,                0.95985,                0.82715,                0.87797,                0.54441,                 1.4585,                0.81387,                0.95795,               0.008317,               0.008317,               0.008317
                     53,                 1.3708,                0.66681,                 1.0648,                 0.9605,                0.82687,                  0.878,                0.54521,                 1.4566,                0.81451,                0.95788,               0.008284,               0.008284,               0.008284
                     54,                 1.3692,                0.66846,                 1.0637,                0.96015,                0.82695,                0.87777,                0.54536,                 1.4546,                0.81263,                0.95739,               0.008251,               0.008251,               0.008251
                     55,                 1.3659,                0.66524,                 1.0625,                0.95989,                0.82711,                0.87765,                0.54554,                 1.4535,                0.80999,                0.95727,               0.008218,               0.008218,               0.008218
                     56,                 1.3645,                0.66516,                 1.0629,                0.95937,                0.82755,                0.87735,                0.54665,                 1.4524,                0.80874,                0.95719,               0.008185,               0.008185,               0.008185
                     57,                 1.3664,                 0.6652,                 1.0642,                0.96048,                0.82804,                0.87798,                0.54619,                 1.4505,                0.80811,                 0.9566,               0.008152,               0.008152,               0.008152
                     58,                 1.3651,                0.66465,                 1.0626,                 0.9598,                0.82896,                 0.8779,                0.54638,                 1.4487,                0.80628,                0.95597,               0.008119,               0.008119,               0.008119
                     59,                 1.3654,                0.66383,                 1.0629,                0.95927,                0.83037,                0.87814,                0.54702,                 1.4473,                 0.8077,                0.95589,               0.008086,               0.008086,               0.008086
                     60,                 1.3622,                0.66303,                 1.0594,                0.95926,                0.83119,                0.87825,                 0.5472,                 1.4472,                0.81063,                0.95566,               0.008053,               0.008053,               0.008053
                     61,                 1.3636,                0.66446,                 1.0612,                0.96005,                0.83053,                0.87808,                0.54729,                 1.4473,                0.81339,                0.95544,                0.00802,                0.00802,                0.00802
                     62,                 1.3593,                0.66157,                 1.0594,                0.95913,                0.83106,                0.87744,                0.54744,                 1.4461,                0.81594,                0.95524,               0.007987,               0.007987,               0.007987
